Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," IR sensor"
"D1",1,"Green LED"
"D2",1,"Orange LED"
"D3",1,"Blue LED"
"R1, R2, R3",3,"1 kΩ Resistor"
