Name,Quantity,Component
"U1",1," Temperature Sensor [TMP36]"
"U2",1," ATtiny"
"D1",1,"RCBG LED RGB"
"R1",1,"220 Ω Resistor"
"BAT1",1," Coin Cell 3V Battery"
"SW1",1," DIP Switch DPST"
